E[1] [eV],Im(eps)_f_FzB_4,Im(eps)_f_FzB_5,Im(eps)_f_FzB_6,Im(eps)_f_FzB_7,Im(eps)_f_FzB_8,Im(eps)_f_FzB_9
0.576000,0.00078713,0.00000882,0.00000665,0.00000536,0.00000318,0.00000091
0.578000,0.00078727,0.00000882,0.00000665,0.00000536,0.00000318,0.00000091
0.580000,0.00078742,0.00000882,0.00000665,0.00000536,0.00000318,0.00000091
0.582000,0.00078757,0.00000882,0.00000665,0.00000536,0.00000318,0.00000091
0.584000,0.00078771,0.00000882,0.00000665,0.00000536,0.00000318,0.00000091
0.586000,0.00078786,0.00000882,0.00000665,0.00000536,0.00000318,0.00000091
0.588000,0.00078801,0.00000882,0.00000665,0.00000536,0.00000318,0.00000091
0.590000,0.00078815,0.00000883,0.00000665,0.00000536,0.00000318,0.00000091
0.592000,0.00078830,0.00000883,0.00000666,0.00000536,0.00000318,0.00000091
0.594000,0.00078845,0.00000883,0.00000666,0.00000536,0.00000318,0.00000091
0.596000,0.00078859,0.00000883,0.00000666,0.00000536,0.00000318,0.00000091
0.598000,0.00078874,0.00000883,0.00000666,0.00000536,0.00000318,0.00000091
0.600000,0.00078889,0.00000883,0.00000666,0.00000536,0.00000318,0.00000091
0.602000,0.00078903,0.00000883,0.00000666,0.00000536,0.00000319,0.00000091
0.604000,0.00078918,0.00000883,0.00000666,0.00000536,0.00000319,0.00000091
0.606000,0.00078933,0.00000883,0.00000666,0.00000536,0.00000319,0.00000091
0.608000,0.00078948,0.00000883,0.00000666,0.00000536,0.00000319,0.00000091
0.610000,0.00078962,0.00000883,0.00000666,0.00000536,0.00000319,0.00000091
0.612000,0.00078977,0.00000883,0.00000666,0.00000536,0.00000319,0.00000091
0.614000,0.00078992,0.00000883,0.00000666,0.00000536,0.00000319,0.00000091
0.616000,0.00079007,0.00000883,0.00000666,0.00000536,0.00000319,0.00000091
0.618000,0.00079021,0.00000883,0.00000666,0.00000536,0.00000319,0.00000091
0.620000,0.00079036,0.00000883,0.00000666,0.00000536,0.00000319,0.00000091
0.622000,0.00079051,0.00000883,0.00000666,0.00000536,0.00000319,0.00000091
0.624000,0.00079066,0.00000883,0.00000666,0.00000536,0.00000319,0.00000091
0.626000,0.00079080,0.00000883,0.00000666,0.00000536,0.00000319,0.00000091
0.628000,0.00079095,0.00000883,0.00000666,0.00000536,0.00000319,0.00000091
0.630000,0.00079110,0.00000884,0.00000666,0.00000536,0.00000319,0.00000091
0.632000,0.00079125,0.00000884,0.00000666,0.00000536,0.00000319,0.00000091
0.634000,0.00079139,0.00000884,0.00000666,0.00000536,0.00000319,0.00000091
0.636000,0.00079154,0.00000884,0.00000666,0.00000536,0.00000319,0.00000091
0.638000,0.00079169,0.00000884,0.00000666,0.00000536,0.00000319,0.00000091
0.640000,0.00079184,0.00000884,0.00000666,0.00000537,0.00000319,0.00000091
0.642000,0.00079199,0.00000884,0.00000666,0.00000537,0.00000319,0.00000091
0.644000,0.00079214,0.00000884,0.00000666,0.00000537,0.00000319,0.00000091
0.646000,0.00079228,0.00000884,0.00000667,0.00000537,0.00000319,0.00000091
0.648000,0.00079243,0.00000884,0.00000667,0.00000537,0.00000319,0.00000091
0.650000,0.00079258,0.00000884,0.00000667,0.00000537,0.00000319,0.00000091
0.652000,0.00079273,0.00000884,0.00000667,0.00000537,0.00000319,0.00000091
