E[1] [eV],Re(eps)_nbnd_10,Re(eps)_nbnd_20,Re(eps)_nbnd_30,Re(eps)_nbnd_40,Re(eps)_nbnd_50,Re(eps)_nbnd_60,Re(eps)_nbnd_70,Re(eps)_nbnd_80
0.420000,1.00641800,1.00950300,1.01071700,1.01110900,1.01134000,1.01147800,1.01156600,1.01161100
0.422000,1.00641800,1.00950400,1.01071700,1.01110900,1.01134000,1.01147800,1.01156600,1.01161100
0.424000,1.00641800,1.00950400,1.01071700,1.01110900,1.01134000,1.01147800,1.01156700,1.01161200
0.426000,1.00641800,1.00950400,1.01071800,1.01110900,1.01134100,1.01147900,1.01156700,1.01161200
0.428000,1.00641900,1.00950400,1.01071800,1.01111000,1.01134100,1.01147900,1.01156700,1.01161200
0.430000,1.00641900,1.00950500,1.01071800,1.01111000,1.01134100,1.01147900,1.01156800,1.01161300
0.432000,1.00641900,1.00950500,1.01071800,1.01111000,1.01134200,1.01147900,1.01156800,1.01161300
0.434000,1.00641900,1.00950500,1.01071900,1.01111100,1.01134200,1.01148000,1.01156800,1.01161300
0.436000,1.00641900,1.00950600,1.01071900,1.01111100,1.01134200,1.01148000,1.01156900,1.01161300
0.438000,1.00642000,1.00950600,1.01071900,1.01111100,1.01134300,1.01148000,1.01156900,1.01161400
0.440000,1.00642000,1.00950600,1.01072000,1.01111100,1.01134300,1.01148100,1.01156900,1.01161400
0.442000,1.00642000,1.00950600,1.01072000,1.01111200,1.01134300,1.01148100,1.01156900,1.01161400
0.444000,1.00642000,1.00950600,1.01072000,1.01111200,1.01134300,1.01148100,1.01157000,1.01161500
0.446000,1.00642000,1.00950700,1.01072000,1.01111200,1.01134400,1.01148200,1.01157000,1.01161500
0.448000,1.00642000,1.00950700,1.01072100,1.01111300,1.01134400,1.01148200,1.01157000,1.01161500
0.450000,1.00642100,1.00950700,1.01072100,1.01111300,1.01134400,1.01148200,1.01157100,1.01161600
0.452000,1.00642100,1.00950800,1.01072100,1.01111300,1.01134500,1.01148200,1.01157100,1.01161600
0.454000,1.00642100,1.00950800,1.01072200,1.01111300,1.01134500,1.01148300,1.01157100,1.01161600
0.456000,1.00642100,1.00950800,1.01072200,1.01111400,1.01134500,1.01148300,1.01157100,1.01161600
0.458000,1.00642100,1.00950800,1.01072200,1.01111400,1.01134600,1.01148300,1.01157200,1.01161700
0.460000,1.00642200,1.00950800,1.01072200,1.01111400,1.01134600,1.01148400,1.01157200,1.01161700
0.462000,1.00642200,1.00950900,1.01072300,1.01111500,1.01134600,1.01148400,1.01157200,1.01161700
0.464000,1.00642200,1.00950900,1.01072300,1.01111500,1.01134600,1.01148400,1.01157300,1.01161800
0.466000,1.00642200,1.00950900,1.01072300,1.01111500,1.01134700,1.01148500,1.01157300,1.01161800
0.468000,1.00642200,1.00951000,1.01072300,1.01111500,1.01134700,1.01148500,1.01157300,1.01161800
0.470000,1.00642300,1.00951000,1.01072400,1.01111600,1.01134700,1.01148500,1.01157300,1.01161800
0.472000,1.00642300,1.00951000,1.01072400,1.01111600,1.01134800,1.01148500,1.01157400,1.01161900
0.474000,1.00642300,1.00951000,1.01072400,1.01111600,1.01134800,1.01148600,1.01157400,1.01161900
0.476000,1.00642300,1.00951100,1.01072500,1.01111700,1.01134800,1.01148600,1.01157400,1.01161900
0.478000,1.00642300,1.00951100,1.01072500,1.01111700,1.01134800,1.01148600,1.01157500,1.01162000
0.480000,1.00642300,1.00951100,1.01072500,1.01111700,1.01134900,1.01148700,1.01157500,1.01162000
0.482000,1.00642400,1.00951100,1.01072500,1.01111700,1.01134900,1.01148700,1.01157500,1.01162000
0.484000,1.00642400,1.00951200,1.01072600,1.01111800,1.01134900,1.01148700,1.01157600,1.01162100
0.486000,1.00642400,1.00951200,1.01072600,1.01111800,1.01135000,1.01148700,1.01157600,1.01162100
0.488000,1.00642400,1.00951200,1.01072600,1.01111800,1.01135000,1.01148800,1.01157600,1.01162100
0.490000,1.00642400,1.00951200,1.01072700,1.01111900,1.01135000,1.01148800,1.01157600,1.01162100
0.492000,1.00642500,1.00951300,1.01072700,1.01111900,1.01135000,1.01148800,1.01157700,1.01162200
0.494000,1.00642500,1.00951300,1.01072700,1.01111900,1.01135100,1.01148900,1.01157700,1.01162200
0.496000,1.00642500,1.00951300,1.01072700,1.01111900,1.01135100,1.01148900,1.01157700,1.01162200
0.498000,1.00642500,1.00951300,1.01072800,1.01112000,1.01135100,1.01148900,1.01157800,1.01162300
