E[1] [eV],Re(eps)_nk_4,Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
0.214000,1.00641600,1.00635900,1.00637400,1.00640700,1.00638400,1.00638400,1.00635600,1.00638900
0.216000,1.00641700,1.00636000,1.00637400,1.00640700,1.00638400,1.00638400,1.00635700,1.00638900
0.218000,1.00641700,1.00636000,1.00637400,1.00640700,1.00638400,1.00638400,1.00635700,1.00638900
0.220000,1.00641700,1.00636000,1.00637400,1.00640800,1.00638400,1.00638400,1.00635700,1.00638900
0.222000,1.00641700,1.00636000,1.00637400,1.00640800,1.00638500,1.00638500,1.00635700,1.00638900
0.224000,1.00641700,1.00636000,1.00637500,1.00640800,1.00638500,1.00638500,1.00635700,1.00639000
0.226000,1.00641700,1.00636000,1.00637500,1.00640800,1.00638500,1.00638500,1.00635800,1.00639000
0.228000,1.00641800,1.00636100,1.00637500,1.00640800,1.00638500,1.00638500,1.00635800,1.00639000
0.230000,1.00641800,1.00636100,1.00637500,1.00640800,1.00638500,1.00638500,1.00635800,1.00639000
0.232000,1.00641800,1.00636100,1.00637500,1.00640900,1.00638500,1.00638600,1.00635800,1.00639000
0.234000,1.00641800,1.00636100,1.00637600,1.00640900,1.00638600,1.00638600,1.00635800,1.00639100
0.236000,1.00641800,1.00636100,1.00637600,1.00640900,1.00638600,1.00638600,1.00635800,1.00639100
0.238000,1.00641800,1.00636100,1.00637600,1.00640900,1.00638600,1.00638600,1.00635900,1.00639100
0.240000,1.00641900,1.00636200,1.00637600,1.00640900,1.00638600,1.00638600,1.00635900,1.00639100
0.242000,1.00641900,1.00636200,1.00637600,1.00641000,1.00638600,1.00638700,1.00635900,1.00639100
0.244000,1.00641900,1.00636200,1.00637700,1.00641000,1.00638700,1.00638700,1.00635900,1.00639100
0.246000,1.00641900,1.00636200,1.00637700,1.00641000,1.00638700,1.00638700,1.00635900,1.00639200
0.248000,1.00641900,1.00636200,1.00637700,1.00641000,1.00638700,1.00638700,1.00635900,1.00639200
0.250000,1.00642000,1.00636300,1.00637700,1.00641000,1.00638700,1.00638700,1.00636000,1.00639200
0.252000,1.00642000,1.00636300,1.00637700,1.00641000,1.00638700,1.00638700,1.00636000,1.00639200
0.254000,1.00642000,1.00636300,1.00637700,1.00641100,1.00638700,1.00638800,1.00636000,1.00639200
0.256000,1.00642000,1.00636300,1.00637800,1.00641100,1.00638800,1.00638800,1.00636000,1.00639200
0.258000,1.00642000,1.00636300,1.00637800,1.00641100,1.00638800,1.00638800,1.00636000,1.00639300
0.260000,1.00642000,1.00636300,1.00637800,1.00641100,1.00638800,1.00638800,1.00636100,1.00639300
0.262000,1.00642100,1.00636400,1.00637800,1.00641100,1.00638800,1.00638800,1.00636100,1.00639300
0.264000,1.00642100,1.00636400,1.00637800,1.00641200,1.00638800,1.00638800,1.00636100,1.00639300
0.266000,1.00642100,1.00636400,1.00637900,1.00641200,1.00638900,1.00638900,1.00636100,1.00639300
0.268000,1.00642100,1.00636400,1.00637900,1.00641200,1.00638900,1.00638900,1.00636100,1.00639400
0.270000,1.00642100,1.00636400,1.00637900,1.00641200,1.00638900,1.00638900,1.00636100,1.00639400
0.272000,1.00642200,1.00636400,1.00637900,1.00641200,1.00638900,1.00638900,1.00636200,1.00639400
0.274000,1.00642200,1.00636500,1.00637900,1.00641300,1.00638900,1.00638900,1.00636200,1.00639400
0.276000,1.00642200,1.00636500,1.00637900,1.00641300,1.00638900,1.00638900,1.00636200,1.00639400
0.278000,1.00642200,1.00636500,1.00638000,1.00641300,1.00639000,1.00639000,1.00636200,1.00639500
0.280000,1.00642200,1.00636500,1.00638000,1.00641300,1.00639000,1.00639000,1.00636200,1.00639500
0.282000,1.00642300,1.00636500,1.00638000,1.00641300,1.00639000,1.00639000,1.00636300,1.00639500
0.284000,1.00642300,1.00636600,1.00638000,1.00641300,1.00639000,1.00639000,1.00636300,1.00639500
0.286000,1.00642300,1.00636600,1.00638000,1.00641400,1.00639000,1.00639000,1.00636300,1.00639500
0.288000,1.00642300,1.00636600,1.00638000,1.00641400,1.00639100,1.00639100,1.00636300,1.00639500
0.290000,1.00642300,1.00636600,1.00638100,1.00641400,1.00639100,1.00639100,1.00636300,1.00639600
0.292000,1.00642300,1.00636600,1.00638100,1.00641400,1.00639100,1.00639100,1.00636300,1.00639600
0.294000,1.00642400,1.00636600,1.00638100,1.00641400,1.00639100,1.00639100,1.00636400,1.00639600
0.296000,1.00642400,1.00636700,1.00638100,1.00641500,1.00639100,1.00639100,1.00636400,1.00639600
0.298000,1.00642400,1.00636700,1.00638100,1.00641500,1.00639100,1.00639200,1.00636400,1.00639600
0.300000,1.00642400,1.00636700,1.00638200,1.00641500,1.00639200,1.00639200,1.00636400,1.00639700
0.302000,1.00642400,1.00636700,1.00638200,1.00641500,1.00639200,1.00639200,1.00636400,1.00639700
0.304000,1.00642500,1.00636700,1.00638200,1.00641500,1.00639200,1.00639200,1.00636400,1.00639700
0.306000,1.00642500,1.00636800,1.00638200,1.00641500,1.00639200,1.00639200,1.00636500,1.00639700
0.308000,1.00642500,1.00636800,1.00638200,1.00641600,1.00639200,1.00639200,1.00636500,1.00639700
0.310000,1.00642500,1.00636800,1.00638200,1.00641600,1.00639200,1.00639300,1.00636500,1.00639700
0.312000,1.00642500,1.00636800,1.00638300,1.00641600,1.00639300,1.00639300,1.00636500,1.00639800
0.314000,1.00642500,1.00636800,1.00638300,1.00641600,1.00639300,1.00639300,1.00636500,1.00639800
0.316000,1.00642600,1.00636800,1.00638300,1.00641600,1.00639300,1.00639300,1.00636600,1.00639800
0.318000,1.00642600,1.00636900,1.00638300,1.00641700,1.00639300,1.00639300,1.00636600,1.00639800
0.320000,1.00642600,1.00636900,1.00638300,1.00641700,1.00639300,1.00639400,1.00636600,1.00639800
0.322000,1.00642600,1.00636900,1.00638400,1.00641700,1.00639400,1.00639400,1.00636600,1.00639800
0.324000,1.00642600,1.00636900,1.00638400,1.00641700,1.00639400,1.00639400,1.00636600,1.00639900
0.326000,1.00642700,1.00636900,1.00638400,1.00641700,1.00639400,1.00639400,1.00636600,1.00639900
0.328000,1.00642700,1.00636900,1.00638400,1.00641700,1.00639400,1.00639400,1.00636700,1.00639900
0.330000,1.00642700,1.00637000,1.00638400,1.00641800,1.00639400,1.00639400,1.00636700,1.00639900
0.332000,1.00642700,1.00637000,1.00638400,1.00641800,1.00639500,1.00639500,1.00636700,1.00639900
0.334000,1.00642700,1.00637000,1.00638500,1.00641800,1.00639500,1.00639500,1.00636700,1.00640000
0.336000,1.00642800,1.00637000,1.00638500,1.00641800,1.00639500,1.00639500,1.00636700,1.00640000
0.338000,1.00642800,1.00637000,1.00638500,1.00641800,1.00639500,1.00639500,1.00636800,1.00640000
0.340000,1.00642800,1.00637100,1.00638500,1.00641800,1.00639500,1.00639500,1.00636800,1.00640000
0.342000,1.00642800,1.00637100,1.00638500,1.00641900,1.00639500,1.00639500,1.00636800,1.00640000
0.344000,1.00642800,1.00637100,1.00638600,1.00641900,1.00639600,1.00639600,1.00636800,1.00640000
0.346000,1.00642800,1.00637100,1.00638600,1.00641900,1.00639600,1.00639600,1.00636800,1.00640100
0.348000,1.00642900,1.00637100,1.00638600,1.00641900,1.00639600,1.00639600,1.00636800,1.00640100
0.350000,1.00642900,1.00637100,1.00638600,1.00641900,1.00639600,1.00639600,1.00636900,1.00640100
0.352000,1.00642900,1.00637200,1.00638600,1.00642000,1.00639600,1.00639600,1.00636900,1.00640100
