E[1] [eV],Re(eps)_nk_4,Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
13.909770,0.06108800,1.02396100,1.08992100,1.59900500,1.16703400,1.45492100,1.20342200,1.28742700
13.947370,0.20126500,0.30204100,0.98250300,1.54987600,1.01568200,1.51656600,1.24676000,1.21118400
13.984960,0.34660600,0.09410600,0.96474300,1.41668400,1.00611400,1.53955700,1.29249400,1.18330200
14.022560,0.48124600,0.17763000,0.97245000,1.31345300,1.03463300,1.50157000,1.31599300,1.19079600
14.060150,0.60220500,0.35684100,1.01679100,1.31121300,1.02620600,1.43340000,1.34630800,1.22761200
14.097740,0.71045200,0.55039500,1.10684300,1.38970600,1.00642600,1.38766100,1.40713000,1.28072500
14.135340,0.80786500,0.73382300,1.21811900,1.49051300,1.03439700,1.38083100,1.48512000,1.32431600
14.172930,0.89632500,0.90286800,1.32714900,1.55633800,1.10395800,1.39546000,1.55470700,1.33292600
14.210530,0.97747300,1.05935900,1.42088300,1.54110200,1.19653200,1.39517500,1.58429800,1.32192900
14.248120,1.05267000,1.20589900,1.50454400,1.46650800,1.30017900,1.37497100,1.54575700,1.33166800
14.285710,1.12303900,1.34259600,1.59806600,1.39360800,1.40207900,1.38165000,1.47464300,1.37250800
14.323310,1.18952500,1.46137000,1.70635200,1.35266300,1.49679600,1.42423800,1.45351500,1.43977800
14.360900,1.25291600,1.53320800,1.82117100,1.37499600,1.58112300,1.45079800,1.47622200,1.51555100
14.398490,1.31391300,1.49770300,1.92843400,1.44465800,1.64753800,1.41453800,1.48064300,1.57044200
14.436090,1.37313500,1.32903500,1.99502600,1.52655100,1.69002100,1.33907100,1.45387300,1.57866800
