E[1] [eV],Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80,Im(eps)_nbnd_90,Im(eps)_nbnd_100,Im(eps)_nbnd_110,Im(eps)_nbnd_120,Im(eps)_nbnd_130
15.225560,0.34792100,0.38713000,0.37080600,0.38440200,0.39021900,0.39162300,0.39173600,0.39169300,0.39165600,0.39164500,0.39163100
15.263160,0.36420700,0.37423200,0.37030900,0.39449300,0.40825100,0.41103400,0.41125600,0.41116600,0.41108700,0.41106000,0.41101800
15.300750,0.40161800,0.36517800,0.37945400,0.42231900,0.44698200,0.45141300,0.45174800,0.45160100,0.45146800,0.45142000,0.45134500
15.338350,0.45339700,0.35369800,0.40357200,0.47092300,0.49829600,0.50247100,0.50278200,0.50262800,0.50250200,0.50245700,0.50238600
15.375940,0.50264800,0.35381700,0.44843400,0.51574900,0.53164400,0.53388600,0.53406400,0.53393200,0.53385600,0.53383000,0.53379200
15.413530,0.50683700,0.37618900,0.49425100,0.53419900,0.54651500,0.54906500,0.54927500,0.54908800,0.54898700,0.54895000,0.54889800
15.451130,0.46242500,0.41293700,0.51436100,0.55137400,0.57481200,0.57911000,0.57943600,0.57918900,0.57903100,0.57897500,0.57888600
15.488720,0.42257600,0.43302800,0.52657400,0.58935900,0.61576800,0.61947300,0.61971200,0.61952400,0.61939300,0.61935200,0.61927800
15.526320,0.41625200,0.42295200,0.56137400,0.62779300,0.64104900,0.64235200,0.64235400,0.64227600,0.64222100,0.64221000,0.64218500
15.563910,0.43725100,0.41431500,0.61100600,0.64475500,0.64820700,0.64920800,0.64914000,0.64904800,0.64898500,0.64897000,0.64894500
15.601500,0.45043900,0.43149700,0.64351000,0.65696100,0.67505700,0.68000800,0.68020100,0.67992600,0.67973200,0.67966000,0.67954900
15.639100,0.42795300,0.47448200,0.65406400,0.70865500,0.76019000,0.77069300,0.77126400,0.77076600,0.77040400,0.77026300,0.77003900
15.676690,0.39528900,0.52944100,0.68648400,0.82041400,0.88872000,0.89927400,0.89985800,0.89940200,0.89906600,0.89893400,0.89872000
15.714280,0.38030800,0.57883200,0.77947000,0.93498500,0.95667500,0.95616000,0.95608400,0.95615700,0.95620800,0.95622900,0.95626300
15.751880,0.38509800,0.61131000,0.90650500,0.93419200,0.89115400,0.88203900,0.88151100,0.88197300,0.88231200,0.88244800,0.88266100
15.789470,0.40830100,0.62392400,0.95391400,0.83183400,0.78639700,0.77920900,0.77885000,0.77923900,0.77952200,0.77963600,0.77980500
15.827070,0.44823300,0.64683200,0.87293300,0.74363400,0.72274100,0.71914700,0.71898000,0.71918800,0.71933400,0.71939400,0.71948300
15.864660,0.48699100,0.72116100,0.77166200,0.70160500,0.68796400,0.68518300,0.68499000,0.68508100,0.68514000,0.68516300,0.68522100
15.902260,0.51680100,0.84519400,0.71484200,0.67751200,0.66810700,0.66737900,0.66730400,0.66727400,0.66724200,0.66722700,0.66723000
15.939850,0.55375100,0.93516400,0.68181600,0.67473600,0.69044800,0.69459700,0.69488100,0.69468200,0.69452200,0.69445700,0.69435600
15.977440,0.59806700,0.90413400,0.66367000,0.72517300,0.77862400,0.78865300,0.78937400,0.78898400,0.78868200,0.78855700,0.78833700
16.015040,0.65303300,0.82450700,0.69030300,0.84321200,0.92899700,0.94265000,0.94363100,0.94312300,0.94274900,0.94259500,0.94230300
16.052630,0.72599400,0.79689300,0.78323600,1.00220800,1.08379600,1.09396100,1.09468700,1.09429500,1.09405000,1.09394800,1.09373200
16.090230,0.81879300,0.83716400,0.93498200,1.12322900,1.16007700,1.16215400,1.16229700,1.16217300,1.16215700,1.16214500,1.16210100
16.127820,0.93409400,0.90339100,1.08160900,1.15360500,1.13717000,1.13140800,1.13095000,1.13107800,1.13124600,1.13131000,1.13143000
16.165410,1.00438400,0.95742500,1.14736100,1.09568200,1.04244600,1.03367700,1.03299400,1.03319900,1.03341600,1.03350800,1.03368300
16.203010,0.96631200,1.01771700,1.12784300,0.99711100,0.95741500,0.95272000,0.95234300,0.95238500,0.95249100,0.95254400,0.95262700
16.240600,0.90539700,1.09559400,1.04175500,0.94063900,0.93619600,0.93646200,0.93635700,0.93612800,0.93605400,0.93603300,0.93599800
16.278190,0.90663400,1.14592200,0.96037400,0.95171500,0.96736500,0.97043000,0.97035100,0.96983200,0.96956800,0.96946100,0.96933500
16.315790,0.96806300,1.13163000,0.94592300,1.00678000,1.03484000,1.04055700,1.04062400,1.03996800,1.03960500,1.03945700,1.03926400
16.353380,1.05354800,1.06556000,0.99365600,1.08728400,1.12779600,1.13536100,1.13571400,1.13519300,1.13487800,1.13475600,1.13455100
16.390980,1.13076900,1.03021700,1.07015800,1.18015300,1.24258600,1.25444700,1.25526700,1.25476400,1.25443000,1.25431000,1.25403800
16.428570,1.20882900,1.07256100,1.15367100,1.32022000,1.44025700,1.46201300,1.46355900,1.46268300,1.46211200,1.46191000,1.46143000
16.466160,1.34321600,1.16494800,1.26009700,1.57958200,1.77165300,1.80318900,1.80534800,1.80405000,1.80321900,1.80292400,1.80223300
16.503760,1.49098300,1.26633400,1.46026300,1.96065300,2.17132700,2.20052000,2.20242600,2.20121500,2.20045300,2.20019100,2.19954800
16.541350,1.51236800,1.39466700,1.78794600,2.33029200,2.46390900,2.47753700,2.47829500,2.47753200,2.47710500,2.47697400,2.47661700
16.578950,1.41011100,1.59024000,2.16323000,2.55217500,2.61288700,2.61916800,2.61928500,2.61837100,2.61792400,2.61777300,2.61746900
16.616540,1.34450700,1.85750100,2.45253000,2.70352800,2.77670800,2.78805600,2.78843100,2.78715600,2.78648900,2.78624700,2.78580800
16.654130,1.38955700,2.15681500,2.63960400,2.89103800,2.95688700,2.96509900,2.96533400,2.96467400,2.96428000,2.96413600,2.96389100
16.691730,1.49120900,2.43341500,2.81509800,2.99398600,2.97520700,2.97021700,2.96963400,2.97004800,2.97023200,2.97030100,2.97047500
