E[1] [eV],Re(eps)_nbnd_10,Re(eps)_nbnd_20,Re(eps)_nbnd_30,Re(eps)_nbnd_40,Re(eps)_nbnd_50,Re(eps)_nbnd_60,Re(eps)_nbnd_70,Re(eps)_nbnd_80
13.345860,0.77346300,0.90936500,0.93319500,0.94054700,0.94414900,0.94597600,0.94704200,0.94767800
13.383460,0.81725000,0.95328200,0.97711800,0.98447100,0.98807300,0.98990000,0.99096700,0.99160300
13.421050,0.85836800,0.99453100,1.01837300,1.02572800,1.02933000,1.03115700,1.03222400,1.03286000
13.458640,0.87389000,1.01018400,1.03403200,1.04138700,1.04499000,1.04681800,1.04788400,1.04852100
13.496240,0.91585000,1.05227500,1.07613000,1.08348600,1.08708900,1.08891700,1.08998300,1.09062000
13.533830,0.99916500,1.13572200,1.15958300,1.16694100,1.17054400,1.17237200,1.17343800,1.17407500
13.571430,1.10976500,1.24645500,1.27032300,1.27768100,1.28128500,1.28311200,1.28417900,1.28481600
13.609020,1.24244600,1.37927000,1.40314400,1.41050400,1.41410700,1.41593600,1.41700200,1.41763900
13.646620,1.38771800,1.52467600,1.54855600,1.55591700,1.55952100,1.56135000,1.56241700,1.56305300
13.684210,1.53231600,1.66941000,1.69329600,1.70065800,1.70426300,1.70609100,1.70715800,1.70779400
13.721800,1.65274400,1.78997400,1.81386700,1.82122900,1.82483400,1.82666300,1.82773000,1.82836700
13.759400,1.70083000,1.83819700,1.86209600,1.86946000,1.87306600,1.87489400,1.87596100,1.87659800
13.796990,1.62361100,1.76111500,1.78502000,1.79238500,1.79599100,1.79782000,1.79888700,1.79952300
13.834590,1.42802100,1.56566300,1.58957500,1.59694100,1.60054700,1.60237600,1.60344300,1.60407900
13.872180,1.15812100,1.29590100,1.31982000,1.32718800,1.33079400,1.33262300,1.33369000,1.33432700
13.909770,0.91355300,1.05147300,1.07539900,1.08276700,1.08637400,1.08820200,1.08927000,1.08990700
13.947370,0.80599800,0.94405900,0.96799100,0.97536000,0.97896700,0.98079600,0.98186400,0.98250000
13.984960,0.78809400,0.92629500,0.95023400,0.95760400,0.96121200,0.96304100,0.96410900,0.96474500
14.022560,0.79565300,0.93399500,0.95794000,0.96531200,0.96891900,0.97074900,0.97181600,0.97245300
14.060150,0.83984700,0.97833200,1.00228300,1.00965600,1.01326400,1.01509400,1.01616100,1.01679800
14.097740,0.92975000,1.06837800,1.09233600,1.09971000,1.10331800,1.10514800,1.10621600,1.10685300
14.135340,1.04087400,1.17964700,1.20361100,1.21098600,1.21459500,1.21642500,1.21749300,1.21813000
14.172930,1.14975000,1.28866700,1.31263800,1.32001400,1.32362300,1.32545300,1.32652100,1.32715800
14.210530,1.24332900,1.38239100,1.40636900,1.41374700,1.41735600,1.41918600,1.42025400,1.42089100
14.248120,1.32683500,1.46604300,1.49002800,1.49740700,1.50101600,1.50284700,1.50391500,1.50455200
14.285710,1.42020400,1.55955900,1.58355000,1.59093000,1.59454000,1.59637100,1.59743900,1.59807600
14.323310,1.52833500,1.66783800,1.69183600,1.69921700,1.70282700,1.70465800,1.70572600,1.70636300
14.360900,1.64299600,1.78264800,1.80665300,1.81403500,1.81764600,1.81947600,1.82054400,1.82118100
